ProductID,ProductName,Category,Stock,UnitPrice,RetailPrice
Nantou Nangang_4579_017,beer1,beer1,297,61.88,86.8
Nantou Nangang_2192_018,beer1,beer1,297,984.99,1211.69
Nantou Nangang_8470_019,beer1,beer1,49,694.79,865.37
Nantou Nangang_6070_020,beer1,beer1,300,406.11,569.92
Nantou Nangang_4956_021,beer1,beer1,148,216.49,318.81
Nantou Nangang_2592_022,beer1,beer1,200,631.52,883.63
Nantou Nangang_5135_023,beer1,beer1,290,470.1,650.12
Nantou Nangang_4579_017,beer1,beer1,300,61.88,86.8
Nantou Nangang_2192_018,beer1,beer1,300,984.99,1211.69
Nantou Nangang_8470_019,beer1,beer1,49,694.79,865.37
Nantou Nangang_6070_020,beer1,beer1,297,406.11,569.92
Nantou Nangang_4956_021,beer1,beer1,150,216.49,318.81
Nantou Nangang_2592_022,beer1,beer1,200,631.52,883.63
Nantou Nangang_5135_023,beer1,beer1,290,470.1,650.12
Nantou Nangang_4579_017,beer1,beer1,300,61.88,86.8
Nantou Nangang_2192_018,beer1,beer1,300,984.99,1211.69
Nantou Nangang_8470_019,beer1,beer1,49,694.79,865.37
Nantou Nangang_6070_020,beer1,beer1,300,406.11,569.92
Nantou Nangang_4956_021,beer1,beer1,150,216.49,318.81
Nantou Nangang_2592_022,beer1,beer1,200,631.52,883.63
Nantou Nangang_5135_023,beer1,beer1,290,470.1,650.12
Nantou Nangang_4579_017,beer1,beer1,300,61.88,86.8
Nantou Nangang_2192_018,beer1,beer1,300,984.99,1211.69
Nantou Nangang_8470_019,beer1,beer1,49,694.79,865.37
Nantou Nangang_6070_020,beer1,beer1,300,406.11,569.92
Nantou Nangang_4956_021,beer1,beer1,150,216.49,318.81
Nantou Nangang_2592_022,beer1,beer1,200,631.52,883.63
Nantou Nangang_5135_023,beer1,beer1,294,470.1,650.12
Nantou Nangang_4579_017,beer1,beer1,300,61.88,86.8
Nantou Nangang_2192_018,beer1,beer1,300,984.99,1211.69
Nantou Nangang_8470_019,beer1,beer1,49,694.79,865.37
Nantou Nangang_6070_020,beer1,beer1,300,406.11,569.92
Nantou Nangang_4956_021,beer1,beer1,150,216.49,318.81
Nantou Nangang_2592_022,beer1,beer1,200,631.52,883.63
Nantou Nangang_5135_023,beer1,beer1,297,470.1,650.12
Nantou Nangang_4579_017,beer1,beer1,300,61.88,86.8
Nantou Nangang_2192_018,beer1,beer1,300,984.99,1211.69
Nantou Nangang_8470_019,beer1,beer1,49,694.79,865.37
Nantou Nangang_6070_020,beer1,beer1,300,406.11,569.92
Nantou Nangang_4956_021,beer1,beer1,150,216.49,318.81
Nantou Nangang_2592_022,beer1,beer1,200,631.52,883.63
Nantou Nangang_5135_023,beer1,beer1,290,470.1,650.12
Nantou Nangang_4579_017,beer1,beer1,300,61.88,86.8
Nantou Nangang_2192_018,beer1,beer1,300,984.99,1211.69
Nantou Nangang_8470_019,beer1,beer1,49,694.79,865.37
Nantou Nangang_6070_020,beer1,beer1,300,406.11,569.92
Nantou Nangang_4956_021,beer1,beer1,150,216.49,318.81
Nantou Nangang_2592_022,beer1,beer1,200,631.52,883.63
Nantou Nangang_5135_023,beer1,beer1,274,470.1,650.12
Nantou Nangang_4579_017,beer1,beer1,300,61.88,86.8
Nantou Nangang_2192_018,beer1,beer1,297,984.99,1211.69
Nantou Nangang_8470_019,beer1,beer1,49,694.79,865.37
Nantou Nangang_6070_020,beer1,beer1,300,406.11,569.92
Nantou Nangang_4956_021,beer1,beer1,150,216.49,318.81
Nantou Nangang_2592_022,beer1,beer1,200,631.52,883.63
Nantou Nangang_5135_023,beer1,beer1,287,470.1,650.12
Nantou Nangang_4579_017,beer1,beer1,300,61.88,86.8
Nantou Nangang_2192_018,beer1,beer1,300,984.99,1211.69
