ProductID,ProductName,Category,Stock,UnitPrice,RetailPrice
Taipei Zhongxiao_4579_017,beer1,beer1,297,61.88,86.8
Taipei Zhongxiao_2192_018,beer1,beer1,297,984.99,1211.69
Taipei Zhongxiao_8470_019,beer1,beer1,49,694.79,865.37
Taipei Zhongxiao_6070_020,beer1,beer1,300,406.11,569.92
Taipei Zhongxiao_4956_021,beer1,beer1,148,216.49,318.81
Taipei Zhongxiao_2592_022,beer1,beer1,200,631.52,883.63
Taipei Zhongxiao_5135_023,beer1,beer1,290,470.1,650.12
Taipei Zhongxiao_4579_017,beer1,beer1,300,61.88,86.8
Taipei Zhongxiao_2192_018,beer1,beer1,300,984.99,1211.69
Taipei Zhongxiao_8470_019,beer1,beer1,49,694.79,865.37
Taipei Zhongxiao_6070_020,beer1,beer1,297,406.11,569.92
Taipei Zhongxiao_4956_021,beer1,beer1,150,216.49,318.81
Taipei Zhongxiao_2592_022,beer1,beer1,200,631.52,883.63
Taipei Zhongxiao_5135_023,beer1,beer1,290,470.1,650.12
Taipei Zhongxiao_4579_017,beer1,beer1,300,61.88,86.8
Taipei Zhongxiao_2192_018,beer1,beer1,300,984.99,1211.69
Taipei Zhongxiao_8470_019,beer1,beer1,49,694.79,865.37
Taipei Zhongxiao_6070_020,beer1,beer1,300,406.11,569.92
Taipei Zhongxiao_4956_021,beer1,beer1,150,216.49,318.81
Taipei Zhongxiao_2592_022,beer1,beer1,200,631.52,883.63
Taipei Zhongxiao_5135_023,beer1,beer1,290,470.1,650.12
Taipei Zhongxiao_4579_017,beer1,beer1,300,61.88,86.8
Taipei Zhongxiao_2192_018,beer1,beer1,300,984.99,1211.69
Taipei Zhongxiao_8470_019,beer1,beer1,49,694.79,865.37
Taipei Zhongxiao_6070_020,beer1,beer1,300,406.11,569.92
Taipei Zhongxiao_4956_021,beer1,beer1,150,216.49,318.81
Taipei Zhongxiao_2592_022,beer1,beer1,200,631.52,883.63
Taipei Zhongxiao_5135_023,beer1,beer1,294,470.1,650.12
Taipei Zhongxiao_4579_017,beer1,beer1,300,61.88,86.8
Taipei Zhongxiao_2192_018,beer1,beer1,300,984.99,1211.69
Taipei Zhongxiao_8470_019,beer1,beer1,49,694.79,865.37
Taipei Zhongxiao_6070_020,beer1,beer1,300,406.11,569.92
Taipei Zhongxiao_4956_021,beer1,beer1,150,216.49,318.81
Taipei Zhongxiao_2592_022,beer1,beer1,200,631.52,883.63
Taipei Zhongxiao_5135_023,beer1,beer1,297,470.1,650.12
Taipei Zhongxiao_4579_017,beer1,beer1,300,61.88,86.8
Taipei Zhongxiao_2192_018,beer1,beer1,300,984.99,1211.69
Taipei Zhongxiao_8470_019,beer1,beer1,49,694.79,865.37
Taipei Zhongxiao_6070_020,beer1,beer1,300,406.11,569.92
Taipei Zhongxiao_4956_021,beer1,beer1,150,216.49,318.81
Taipei Zhongxiao_2592_022,beer1,beer1,200,631.52,883.63
Taipei Zhongxiao_5135_023,beer1,beer1,290,470.1,650.12
Taipei Zhongxiao_4579_017,beer1,beer1,300,61.88,86.8
Taipei Zhongxiao_2192_018,beer1,beer1,300,984.99,1211.69
Taipei Zhongxiao_8470_019,beer1,beer1,49,694.79,865.37
Taipei Zhongxiao_6070_020,beer1,beer1,300,406.11,569.92
Taipei Zhongxiao_4956_021,beer1,beer1,150,216.49,318.81
Taipei Zhongxiao_2592_022,beer1,beer1,200,631.52,883.63
Taipei Zhongxiao_5135_023,beer1,beer1,274,470.1,650.12
Taipei Zhongxiao_4579_017,beer1,beer1,300,61.88,86.8
Taipei Zhongxiao_2192_018,beer1,beer1,297,984.99,1211.69
Taipei Zhongxiao_8470_019,beer1,beer1,49,694.79,865.37
Taipei Zhongxiao_6070_020,beer1,beer1,300,406.11,569.92
Taipei Zhongxiao_4956_021,beer1,beer1,150,216.49,318.81
Taipei Zhongxiao_2592_022,beer1,beer1,200,631.52,883.63
Taipei Zhongxiao_5135_023,beer1,beer1,287,470.1,650.12
