ProductID,ProductName,Category,Stock,UnitPrice,RetailPrice,MaxCapacity,ShelfPosition
PROD89743_017,beer1_R1C1,beer1,49,234.63,300.13,50,A1-S7
PROD89743_017,beer1_R1C1,beer1,50,234.63,300.13,50,A1-S7
PROD89743_017,beer1_R1C1,beer1,50,234.63,300.13,50,A1-S7
PROD89743_017,beer1_R1C1,beer1,50,234.63,300.13,50,A1-S7
PROD89743_017,beer1_R1C1,beer1,50,234.63,300.13,50,A1-S7
PROD89743_017,beer1_R1C1,beer1,50,234.63,300.13,50,A1-S7
PROD89743_017,beer1_R1C1,beer1,50,234.63,300.13,50,A1-S7
PROD89743_017,beer1_R1C1,beer1,50,234.63,300.13,50,A1-S7
PROD89743_017,beer1_R1C1,beer1,50,234.63,300.13,50,A1-S7
PROD89743_017,beer1_R1C1,beer1,50,234.63,300.13,50,A1-S7
PROD19579_018,beer1_R1C2,beer1,49,533.54,790.22,50,A1-S8
PROD19579_018,beer1_R1C2,beer1,50,533.54,790.22,50,A1-S8
PROD19579_018,beer1_R1C2,beer1,50,533.54,790.22,50,A1-S8
PROD19579_018,beer1_R1C2,beer1,50,533.54,790.22,50,A1-S8
PROD19579_018,beer1_R1C2,beer1,50,533.54,790.22,50,A1-S8
PROD19579_018,beer1_R1C2,beer1,50,533.54,790.22,50,A1-S8
PROD19579_018,beer1_R1C2,beer1,50,533.54,790.22,50,A1-S8
PROD19579_018,beer1_R1C2,beer1,49,533.54,790.22,50,A1-S8
PROD19579_018,beer1_R1C2,beer1,50,533.54,790.22,50,A1-S8
PROD19579_018,beer1_R1C2,beer1,50,533.54,790.22,50,A1-S8
PROD29163_019,beer1_R1C3,beer1,198,652.86,880.32,200,A1-S9
PROD29163_019,beer1_R1C3,beer1,196,652.86,880.32,200,A1-S9
PROD29163_019,beer1_R1C3,beer1,198,652.86,880.32,200,A1-S9
PROD29163_019,beer1_R1C3,beer1,198,652.86,880.32,200,A1-S9
PROD29163_019,beer1_R1C3,beer1,198,652.86,880.32,200,A1-S9
PROD29163_019,beer1_R1C3,beer1,198,652.86,880.32,200,A1-S9
PROD29163_019,beer1_R1C3,beer1,198,652.86,880.32,200,A1-S9
PROD29163_019,beer1_R1C3,beer1,198,652.86,880.32,200,A1-S9
PROD29163_019,beer1_R1C3,beer1,198,652.86,880.32,200,A1-S9
PROD29163_019,beer1_R1C3,beer1,200,652.86,880.32,200,A1-S9
PROD95033_020,beer1_R1C4,beer1,50,91.97,122.64,50,A2-S0
PROD95033_020,beer1_R1C4,beer1,49,91.97,122.64,50,A2-S0
PROD95033_020,beer1_R1C4,beer1,50,91.97,122.64,50,A2-S0
PROD95033_020,beer1_R1C4,beer1,50,91.97,122.64,50,A2-S0
PROD95033_020,beer1_R1C4,beer1,50,91.97,122.64,50,A2-S0
PROD95033_020,beer1_R1C4,beer1,50,91.97,122.64,50,A2-S0
PROD95033_020,beer1_R1C4,beer1,50,91.97,122.64,50,A2-S0
PROD95033_020,beer1_R1C4,beer1,50,91.97,122.64,50,A2-S0
PROD95033_020,beer1_R1C4,beer1,50,91.97,122.64,50,A2-S0
PROD95033_020,beer1_R1C4,beer1,50,91.97,122.64,50,A2-S0
PROD73272_021,beer1_R1C5,beer1,198,231.94,290.72,200,A2-S1
PROD73272_021,beer1_R1C5,beer1,200,231.94,290.72,200,A2-S1
PROD73272_021,beer1_R1C5,beer1,200,231.94,290.72,200,A2-S1
PROD73272_021,beer1_R1C5,beer1,200,231.94,290.72,200,A2-S1
PROD73272_021,beer1_R1C5,beer1,200,231.94,290.72,200,A2-S1
PROD73272_021,beer1_R1C5,beer1,200,231.94,290.72,200,A2-S1
PROD73272_021,beer1_R1C5,beer1,200,231.94,290.72,200,A2-S1
PROD73272_021,beer1_R1C5,beer1,200,231.94,290.72,200,A2-S1
PROD73272_021,beer1_R1C5,beer1,200,231.94,290.72,200,A2-S1
PROD73272_021,beer1_R1C5,beer1,200,231.94,290.72,200,A2-S1
PROD27624_022,beer1_R1C6,beer1,50,148.68,202.82,50,A2-S2
PROD27624_022,beer1_R1C6,beer1,50,148.68,202.82,50,A2-S2
PROD27624_022,beer1_R1C6,beer1,50,148.68,202.82,50,A2-S2
PROD27624_022,beer1_R1C6,beer1,50,148.68,202.82,50,A2-S2
PROD27624_022,beer1_R1C6,beer1,50,148.68,202.82,50,A2-S2
PROD27624_022,beer1_R1C6,beer1,50,148.68,202.82,50,A2-S2
PROD27624_022,beer1_R1C6,beer1,50,148.68,202.82,50,A2-S2
PROD27624_022,beer1_R1C6,beer1,50,148.68,202.82,50,A2-S2
PROD27624_022,beer1_R1C6,beer1,50,148.68,202.82,50,A2-S2
PROD27624_022,beer1_R1C6,beer1,50,148.68,202.82,50,A2-S2
PROD13441_023,beer1_R1C7,beer1,145,328.47,478.28,150,A2-S3
PROD13441_023,beer1_R1C7,beer1,145,328.47,478.28,150,A2-S3
PROD13441_023,beer1_R1C7,beer1,145,328.47,478.28,150,A2-S3
PROD13441_023,beer1_R1C7,beer1,147,328.47,478.28,150,A2-S3
PROD13441_023,beer1_R1C7,beer1,148,328.47,478.28,150,A2-S3
PROD13441_023,beer1_R1C7,beer1,145,328.47,478.28,150,A2-S3
PROD13441_023,beer1_R1C7,beer1,137,328.47,478.28,150,A2-S3
PROD13441_023,beer1_R1C7,beer1,143,328.47,478.28,150,A2-S3
PROD13441_023,beer1_R1C7,beer1,143,328.47,478.28,150,A2-S3
PROD13441_023,beer1_R1C7,beer1,145,328.47,478.28,150,A2-S3
PROD91496_024,beer2_R1C1,beer2,38,257.58,342.82,50,A2-S4
PROD91496_024,beer2_R1C1,beer2,0,257.58,342.82,50,A2-S4
PROD91496_024,beer2_R1C1,beer2,0,257.58,342.82,50,A2-S4
PROD91496_024,beer2_R1C1,beer2,0,257.58,342.82,50,A2-S4
PROD91496_024,beer2_R1C1,beer2,0,257.58,342.82,50,A2-S4
PROD91496_024,beer2_R1C1,beer2,0,257.58,342.82,50,A2-S4
PROD91496_024,beer2_R1C1,beer2,18,257.58,342.82,50,A2-S4
PROD91496_024,beer2_R1C1,beer2,23,257.58,342.82,50,A2-S4
PROD91496_024,beer2_R1C1,beer2,29,257.58,342.82,50,A2-S4
PROD91496_024,beer2_R1C1,beer2,48,257.58,342.82,50,A2-S4
PROD28094_025,beer2_R1C2,beer2,197,406.4,589.17,200,A2-S5
PROD28094_025,beer2_R1C2,beer2,0,406.4,589.17,200,A2-S5
PROD28094_025,beer2_R1C2,beer2,0,406.4,589.17,200,A2-S5
PROD28094_025,beer2_R1C2,beer2,0,406.4,589.17,200,A2-S5
PROD28094_025,beer2_R1C2,beer2,0,406.4,589.17,200,A2-S5
PROD28094_025,beer2_R1C2,beer2,0,406.4,589.17,200,A2-S5
PROD28094_025,beer2_R1C2,beer2,81,406.4,589.17,200,A2-S5
PROD28094_025,beer2_R1C2,beer2,107,406.4,589.17,200,A2-S5
PROD28094_025,beer2_R1C2,beer2,138,406.4,589.17,200,A2-S5
PROD28094_025,beer2_R1C2,beer2,197,406.4,589.17,200,A2-S5
PROD64278_026,beer2_R1C3,beer2,144,209.61,278.54,150,A2-S6
PROD64278_026,beer2_R1C3,beer2,0,209.61,278.54,150,A2-S6
PROD64278_026,beer2_R1C3,beer2,0,209.61,278.54,150,A2-S6
PROD64278_026,beer2_R1C3,beer2,0,209.61,278.54,150,A2-S6
PROD64278_026,beer2_R1C3,beer2,0,209.61,278.54,150,A2-S6
PROD64278_026,beer2_R1C3,beer2,0,209.61,278.54,150,A2-S6
PROD64278_026,beer2_R1C3,beer2,46,209.61,278.54,150,A2-S6
PROD64278_026,beer2_R1C3,beer2,80,209.61,278.54,150,A2-S6
