ch_name,en_name,product_id,price,zone_name
可口可樂 920ML,Coca-Cola 920ML,4710018148408,49.0,big_cola
百事可樂 500ML,Pepsi 500ML,4710110803526,35.0,pepsi
雪碧 600ML,Sprite 600ML,4710018028601,35.0,sprite
可口可樂 600ML,Coca-Cola 600ML,4710018028809,35.0,cola
百威啤酒 473ML,Budweiser 473ML,01801828,55.0,budweiser
新KIRIN一番搾,Kirin Ichiban Beer,4901411035703,48.0,kirin_beer
雪碧 330ML,Sprite 330ML,4710018000409,20.0,sprite_can
可口可樂 330ML,Coca-Cola 330ML,4710018000102,20.0,cola_can
海尼根啤酒,Heineken,8712000061821,59.0,heineken
KIRIN淡麗GREEN LABEL,Kirin Tanrei Green Label,4901411002019,59.0,green_label
Asahi超爽啤酒,Asahi Super Dry,4901004006813,59.0,asahi
義美薄餅夾心,I-Mei Biscuit,4710126005181,79.0,imei
摩卡咖啡,Mocha Coffee,4710179172113,320.0,coffee
來一客泡麵韓式泡菜風味,Kimchi Flavor Instant Noodle,4710088411983,25.0,noodle1
阿Q桶麵,A Q Bucket Noodle,4710088414243,35.0,noodle2
Reeva越南河粉,Reeva Instant Rice Noodle,8936048470814,39.0,noodle3
統一麵蔥燒牛肉,Beef Flavor Instant Noodle,4710088470313,25.0,noodle4
樂天卡士達派,Lotte Custard,8801062140398,135.0,custard
義美巧克力脆片,I-Mei Crunchoco,4710126031548,79.0,crunchoco
阿華田,Ovaltine,4718262111285,235.0,ovaltine
卡迪那台灣地瓜條,Cadina Sweet Potato Fries,4710022030584,59.0,sweet_potato
卡迪那北海道薯條,Cadina Fries Hokkaido Style,4710022024972,59.0,potato
Kid-O三明治餅乾,Kid-O Cracker Sandwich,4712466025805,429.0,kido
卡迪那鮮脆薯條,Cadina Crispy French Fries,4710022034605,259.0,big_potato
鱷魚蚊香,Crocodile Mosquito Coil,4710312010036,175.0,croc
Dalli雙效洗衣膠囊,Dalli Duo Caps,4012400528837,210.0,dalli
雷達液體電蚊香,Raid Mosquito Repellent,4710314262426,137.0,raid
威滅滅蟑隊,Combat Roach Killing Bait,4897888000477,210.0,combat
舒潔衛生紙,Kleenex Toilet Paper,4710114812999,20.0,toilet_paper
HEINZ番茄醬3入,HEINZ Ketchup 3 Packs,4718262424019,329.0,heinz_ketchup
丸米減鹽味噌湯,Marukome Miso Soup,4902713134040,198.0,miso_soup
立頓原味奶茶,Lipton Original Milk Tea,4710094021954,20.0,lipton_original
立頓巧克力奶茶,Lipton Chocolate Milk Tea,4710094018770,20.0,lipton_chocolate
生活泡沫花茶,Bubble Jasmine Tea,4710958924841,20.0,bubble_jasmine_tea
生活泡沫綠茶,Bubble Green Tea,4710958924582,20.0,bubble_green_tea
生活泡沫紅茶,Bubble Black Tea,4710958924612,20.0,bubble_black_tea
光泉茉莉茶園,Jasmine Honey Tea,4710105037738,20.0,jasmine_honey_tea
可口可樂 435ML,Coca-Cola 435ML,4710018176104,28.0,small_cola
麥萃無糖麥茶,Ochaen Mugisui Barley Tea,4710421076794,25.0,barley_tea
伯朗咖啡經典原味,Mr. Brown Classic Coffee,4710085247790,29.0,mr_brown_coffee
寶礦力水得,Pocari Sweat,4716426850414,20.0,pocali_sweat
貝思寶兒蜜桃果茶,Bessie Byer Peach Tea,4716908660371,17.0,bessie_peach_tea
柚香和風蒟蒻雪麵8入,Konjac Noodles 8 Packes,4712558340496,419.0,konjac_noodle
天然礦泉水,Kirkland Water,196633816375,15.0,kirkland_water
